FID,geom,OBJECTID,NAMOBJ,FCODE,REMARK,METADATA,SRS_ID,JPLYRS,RSALAMAT,WADMKK,TELEPON,TIPRST
RUMAHSAKIT_PT_50K_2023_JAWABARAT.38,POINT (-7.369431550999934 108.54374690000009),1238,RS Umum Daerah Banjar,GI01050100,Pemerintah Kota,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit No. 5 Kota Banjar,Kota Banjar,0265-741032,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.39,POINT (-7.330798379999976 108.36298540000007),1239,RS Umum Permata Bunda,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Mr. Iwa Kusumasomantri No.1 Ciamis,Kota Tasikmalaya,265345650,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.40,POINT (-6.984270755999944 108.48146310000004),1240,RS Umum Daerah 45 Kuningan,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Jendral Sudirman No. 68 Kuningan,Kuningan,0232-871885,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.41,POINT (-6.970543951999957 108.50597960000005),1241,RS Umum Wijaya Kusumah,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. RE Martadinata No. 172 Kab. Kuningan,Kuningan,0232-871565,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.42,POINT (-6.968094366999935 108.45531770000008),1242,RS Umum Sekar Kamulyan,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Rumah Sakit No. 28 Kec. Cigugur Kab. Kuningan,Kuningan,873206,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.43,POINT (-6.912748940999961 108.71848330000006),1243,RS Umum Daerah Waled,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Prabu Kiansantang No. 4 Waled, Cirebon",Cirebon,0231-661126,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.44,POINT (-6.684000429999969 108.55215180000005),1244,RS Pertamina Cirebon,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Patra Raya Klayan No 1 Cirebon,Cirebon,0231-224646,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.45,POINT (-6.797074688999942 108.47530590000008),1245,RS Paru Provinsi Jawa Barat,GI01050100,Pemerintah Provinsi,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Pangeran Kejaksan PO.BOX 4 Desa Sidawangi, Kecamatan Sumber Kab. Cirebon",Cirebon,0231-8330707,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.46,POINT (-6.656397677999962 108.41269600000004),1246,RS Umum Daerah Arjawinangun,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. By Pass Palimanan - Jakarta KM. 2 No. 1 Arjawinangun,Cirebon,0231-358335,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.47,POINT (-6.701637976999962 108.48164150000008),1247,RS Umum Mitra Plumbon,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Plumbon Km.11 Cirebon,Cirebon,323100,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.48,POINT (-6.833545507999929 108.23335110000005),1248,RS Umum Daerah Majalengka,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Kesehatan No.77 Majalengka,Majalengka,0233-281043,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.49,POINT (-6.7601911719999634 108.19481490000004),1249,RS Umum Daerah Cideres,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Cideres - Kadipaten No. 180 Desa Bojong Cideres Kecamatan Dawuan Kabupaten Majalengka 45453,Majalengka,"(0233)-662082,",B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.50,POINT (-6.799708555999928 108.18311340000008),1250,RS Bedah Budi Kasih,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Majalengka - Kadipaten Km.7 no 84,Majalengka,0233-8665508 -,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.51,POINT (-6.85686310899996 107.92140280000007),1251,RS Umum Daerah Sumedang,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Prabu Geusan Ulun No 41 Jl. Palasari No. 80 Kabupaten Sumedang,Sumedang,0261-201021,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.52,POINT (-6.856970708999938 107.92378240000005),1252,RS Umum Pakuwon,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raden Dewi Sartika No. 17 Kel. Regol Wetan Kec. Sumedang Selatan Kab. Sumedang Prov. Jabar,Sumedang,0261 210834,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.53,POINT (-6.329619510999976 108.32196350000004),1253,RS Umum Daerah Kab. Indramayu,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Murah Nara No. 7 Sindang Indramayu,Indramayu,0234-272655,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.54,POINT (-6.313827351999976 107.99860610000007),1254,RS Umum Daerah M. A. Sentot Patrol,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Patrol Km. 46 Patrol Kab. Indramayu,Indramayu,234612715,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.55,POINT (-6.557484109999962 107.74708250000003),1255,RS Umum Daerah Subang,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Brigjen Katamso No. 37 Ciereng,Subang,(0260)411421,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.56,POINT (-6.568158288999939 107.76278430000008),1256,RS Umum PTPN VIII,GI01050100,BUMN,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Otto Iskandardinata No.1 Kab. Subang,Subang,0260-420406,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.57,POINT (-6.51626917699997 107.66311180000008),1257,RSAU dr. Hoediyono Lanud Suryadarma,GI01050100,TNI AU,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Komplek TNI AU Lanud Suryadarma Kec. Kalijati Kab. Subang,Subang,260462225,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.58,POINT (-6.539152077999972 107.44357280000008),1258,RS Umum Daerah Bayu Asih,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Veteran No. 39 Purwakarta,Purwakarta,0264-200100,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.59,POINT (-6.320663391999972 107.29250750000006),1259,RS Umum Daerah Karawang,GI01050100,Pemerintah Kabupaten,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Galuh Mas Raya No.1, Sukaharja, Teluk Jambe, Karawang",Karawang,0267-640444,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.60,POINT (-6.303432395999948 107.29211170000008),1260,RS Umum Bayukarta,GI01050100,Organisasi Protestan,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Kertabumi No.44 Karawang,Karawang,0267 401818,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.61,POINT (-6.400815413999965 107.44371830000006),1261,RS Umum Karya Husada,GI01050100,Perusahaan,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Jend. A.Yani No.98 Cikampek Karawang,Karawang,0264-316188/89,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.62,POINT (-6.168709796999963 107.29725710000008),1262,RS Umum Proklamasi,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Proklamasi KM. 2 Rengasdengklok, Karawang",Karawang,0267-482192,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.63,POINT (-6.281507765999947 107.28335580000004),1263,RS Umum Islam Karawang,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Pangkal Perjuangan KM.2, Karawang",Karawang,(0267)414522,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.64,POINT (-6.404050095999935 107.45018940000006),1264,RS Umum Saraswati,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Jend. Ahmad Yani No.27, Cikampek, Kab. Karawang",Karawang,0264-316101,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.65,POINT (-6.315003011999977 107.31652980000007),1265,RS Umum Delima Asih Sisma Medika,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Wirasaba No.54, Johar - Karawang",Karawang,403073,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.66,POINT (-6.305009512999959 107.30214740000008),1266,RS Ibu dan Anak Dr. Djoko Pramono,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Panatayuda I No.35, Karawang",Karawang,0267 403009,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.67,POINT (-6.349814111999933 107.37761720000009),1267,RS Umum Citra Sari Husada,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Kosambi -Telaga Sari Km.3 Klari, Karawang",Karawang,0267-437507,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.68,POINT (-6.3896525079999265 107.46663480000007),1268,RS Umum Izza,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Raya Ciselang Cikampek Utara, Kotabaru Kab.Karawang",Karawang,0264-8386830-29,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.69,POINT (-6.304883099999927 107.27795860000003),1269,RS Umum Mandaya,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Arteri Tol Karawang Barat Teluk jambe Karawang,Karawang,0267-8643000,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.70,POINT (-6.242071452999937 107.00065780000006),1270,RS Umum Daerah dr. Chasbullah Abdulmadjid,GI01050100,Pemerintah Kota,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Pramuka No. 55 Bekasi,Kota Bekasi,021-8841005,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.71,POINT (-6.232929819999981 107.01088190000007),1271,RS Mekar Sari,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Mekar Sari No. 1 Bekasi,Kota Bekasi,"021-8813787, 02",C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.72,POINT (-6.296349827999961 106.92112790000004),1272,RS Helsa,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Hankam No. 17 Pondok Melati Kota Bekasi,Kota Bekasi,8462565/64,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.73,POINT (-6.262659922999944 107.14025440000006),1273,RS Umum Bhakti Husada,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. R. E. Martadinata (By Pass) Cikarang - Bekasi,Bekasi,021 890 0530-31,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.74,POINT (-6.201799536999943 106.98881490000008),1274,RS Seto Hasbadi,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Seroja No. 19 Harapan Jaya Bekasi Utara,Kota Bekasi,021 -8866141/42,D
RUMAHSAKIT_PT_50K_2023_JAWABARAT.75,POINT (-6.240817898999978 106.99263450000007),1275,RS Umum Mitra Keluarga Bekasi,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,"Jl. Jend. Ahmad Yani - Kayuringin Jaya, Bekasi",Kota Bekasi,021-8853333,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.76,POINT (-6.266843741999935 107.12472230000009),1276,RS Umum Karya Medika,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Imam Bonjol No. 9B Kalijaya Cikarang Barat,Bekasi,0218900190/191,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.77,POINT (-6.241658418999975 106.99485900000008),1277,RS Umum Hermina Bekasi,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Kemakmuran No.39 Margajaya Bekasi,Kota Bekasi,021-8842121,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.78,POINT (-6.272999170999981 107.17426520000004),1278,RS Umum Annisa,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Cikarang Baru No.31 Cikarang Utara Bekasi,Bogor,021-8756780,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.79,POINT (-6.248026617999926 107.00179140000006),1279,RS Umum Bhakti Kartini,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. R.A. Kartini No. 11 Bekasi,Kota Bekasi,8801954,C
RUMAHSAKIT_PT_50K_2023_JAWABARAT.80,POINT (-6.331114388999936 107.13513410000007),1280,Siloam Hospitals Lippo Cikarang,GI01050100,Swasta / Lainnya,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. MH Thamrin Kav.105 Bekasi,Bekasi,021-296 36 900,B
RUMAHSAKIT_PT_50K_2023_JAWABARAT.81,POINT (-6.278813987999968 107.15157410000006),1281,RS Umum Sentra Medika,GI01050100,Organisasi Sosial,528c628d-bc92-447d-8d1f-a0e99c7dc40f,SRGI2013,0,Jl. Raya Industri Pasirgombong Cikarang,Kota Depok,8743790,B
