"id","longitude","latitude","lat","long","address","neighborhood","city","metro_area","subregion","region","postal"
491,107.0135400347,-6.19278585009696,-6.19278585009696,107.0135400347,"Arkan Yasmin, Gang Al Ikhlas 7, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
520,107.014332056487,-6.1860450962797,-6.1860450962797,107.014332056487,"Mi Chin, Perumahan Taman Duta 30, Taman Asri, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
688,107.028090299784,-6.19644316766381,-6.19644316766381,107.028090299784,"Jalan Kyai Haji Noer Ali, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
737,107.009340790457,-6.18025120164285,-6.18025120164285,107.009340790457,"Pondok Ungu Permai, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
768,107.018054889615,-6.18470040104591,-6.18470040104591,107.018054889615,"Bahagia, Babelan, Jawa Barat, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat",""
786,107.024393747573,-6.19223105655231,-6.19223105655231,107.024393747573,"Jalan Guru Muhammad Raya, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
796,107.024984579421,-6.19228214057232,-6.19228214057232,107.024984579421,"Jalan Guru Muhammad Raya, Babelan, Jawa Barat, 17610, IDN","Bahagia","Babelan","Kota Bekasi","Bekasi","Jawa Barat","17610"
94,106.98874576195,-6.31313511924245,-6.31313511924245,106.98874576195,"Jalan Sawo, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
102,106.991010255953,-6.30977175754987,-6.30977175754987,106.991010255953,"Warung Rakyat Pom MINI, Jalan Haji Jole, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
121,106.982993243474,-6.31280793382781,-6.31280793382781,106.982993243474,"Warung Makan Sunda Ibu Ati, Jalan Siliwangi, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
201,106.987034641221,-6.31598377839067,-6.31598377839067,106.987034641221,"Warkop Makmur Sentosa, Jalan Raya Narogong, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
290,106.977329309916,-6.32567927352726,-6.32567927352726,106.977329309916,"Jalan Pangkalan 1B, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
318,106.986635211415,-6.31308489531141,-6.31308489531141,106.986635211415,"Figo Bakau, Jalan Siliwangi, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
357,106.986562067154,-6.31847960460853,-6.31847960460853,106.986562067154,"Honda, Jalan Raya Narogong, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
411,106.980557412542,-6.31370516139968,-6.31370516139968,106.980557412542,"Perumahan Villa Nusa Indah, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
461,106.979082072479,-6.3054951543251,-6.3054951543251,106.979082072479,"Jalan Swadaya 2, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
479,106.988347973327,-6.31186238957022,-6.31186238957022,106.988347973327,"Kakindoa Shop, Jalan Mustikasari Raya, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
524,106.987979191333,-6.3143810935199,-6.3143810935199,106.987979191333,"Sablon Satuan Digital & Manual, Jalan Sawo, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
573,106.980402268698,-6.32710116551558,-6.32710116551558,106.980402268698,"Jalan Pangkalan 1B, Bantargebang, Jawa Barat, 17151, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
591,106.984856582067,-6.32509624298805,-6.32509624298805,106.984856582067,"17151, Bantargebang, Jawa Barat, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
628,106.981361540364,-6.3168205897581,-6.3168205897581,106.981361540364,"17151, Bantargebang, Jawa Barat, IDN","Bantargebang","Bantargebang","Kota Bekasi","Kota Bekasi","Jawa Barat","17151"
142,107.001592027269,-6.23575587030406,-6.23575587030406,107.001592027269,"17112, Bekasi Timur, Jawa Barat, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
164,107.018287208931,-6.22918021082204,-6.22918021082204,107.018287208931,"Global Persada Mandiri School, Jalan Mekarsari, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
176,107.009529730094,-6.23178094015526,-6.23178094015526,107.009529730094,"Boy's Speed, Jalan Haji Agus Salim, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
191,107.009987114413,-6.24027253160972,-6.24027253160972,107.009987114413,"Jalan Taman Kota Bekasi 9, Cluster Bougenville, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
268,107.015478143687,-6.23155270509771,-6.23155270509771,107.015478143687,"Jalan Irigasi Danita Barat 22 9, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
473,107.013014231436,-6.2252567794363,-6.2252567794363,107.013014231436,"Jalan Haji Agus Salim, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
499,107.012784906147,-6.24486571188711,-6.24486571188711,107.012784906147,"Jalan Baru Under Pass, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
523,107.02988737147,-6.22277636643788,-6.22277636643788,107.02988737147,"17112, Bekasi Timur, Jawa Barat, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
554,107.028959510802,-6.22609613625858,-6.22609613625858,107.028959510802,"Royal Ikan Cupang, Jalan Under Pass Duren jaya, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
772,107.024652390243,-6.22621433468165,-6.22621433468165,107.024652390243,"Sjp Bonsai, Jalan Under Pass Duren jaya, Bekasi Timur, Jawa Barat, 17112, IDN","Bekasi Jaya","Bekasi Timur","Kota Bekasi","Kota Bekasi","Jawa Barat","17112"
240,106.958187723018,-6.21981816433776,-6.21981816433776,106.958187723018,"Jalan I Gusti Ngurah Rai, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
276,106.959909486873,-6.23001479256173,-6.23001479256173,106.959909486873,"Otu Haircuts Barbershop, Jalan Pondok Cipta Griya 15, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
324,106.961363834285,-6.23192042168332,-6.23192042168332,106.961363834285,"Jalan Bintara Raya, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
327,106.949084319766,-6.22406400671107,-6.22406400671107,106.949084319766,"Ayam Bakar Madu Dan Goreng Kremes Mama Ira, Jalan Bintara 2 44, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
418,106.95922940578,-6.22428093461235,-6.22428093461235,106.95922940578,"Aiueo - Griya Bintara Indah, Jalan Bintara Kencana, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
496,106.951302279035,-6.22940372330835,-6.22940372330835,106.951302279035,"Jalan Bintara 1 162, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
555,106.957770580472,-6.22791430141488,-6.22791430141488,106.957770580472,"Gang Abenk, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
617,106.956859382473,-6.22676944370841,-6.22676944370841,106.956859382473,"Jalan Bintara 8 9, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
782,106.957494271633,-6.22315069907394,-6.22315069907394,106.957494271633,"Pangkalan Gas Lpg Dan Toko Sembako, Jalan Bintara Kencana Barat 7 16, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
790,106.950687749881,-6.23011608647065,-6.23011608647065,106.950687749881,"Ibu Tya/ Bp Farid, Gang Engkong Mian 61, Bekasi Barat, Jawa Barat, 17134, IDN","Bintara","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17134"
22,106.950714826603,-6.23700607930093,-6.23700607930093,106.950714826603,"Lar.Nailstudio, Jalan Bintara 3, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
194,106.948541149328,-6.24832717613036,-6.24832717613036,106.948541149328,"Jalan Plamboyan 25A, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
213,106.957777599671,-6.24048673357856,-6.24048673357856,106.957777599671,"Jalan Haji Tiban, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
294,106.952113490455,-6.2421448878915,-6.2421448878915,106.952113490455,"Sekolah Kami, Gang Pojok 38C, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
321,106.948793769096,-6.24675769523432,-6.24675769523432,106.948793769096,"Rumah Makan 99, Jalan Bintara Jaya 2 34, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
365,106.952912540904,-6.23906868961636,-6.23906868961636,106.952912540904,"Jalan Bintara Jaya 8, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
466,106.960525597494,-6.23604973109207,-6.23604973109207,106.960525597494,"17136, Bekasi Barat, Jawa Barat, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
476,106.948763244235,-6.23303197101339,-6.23303197101339,106.948763244235,"Gang Dukuh 29, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
509,106.960235176363,-6.23646066945152,-6.23646066945152,106.960235176363,"Jalan Bintara 9, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
584,106.952098478722,-6.23755015487216,-6.23755015487216,106.952098478722,"Jalan Tol Lingkar Luar, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
761,106.949304383226,-6.24052310648554,-6.24052310648554,106.949304383226,"Jalan Gunung Salak 70, Bekasi Barat, Jawa Barat, 17136, IDN","Bintara Jaya","Bekasi Barat","Kota Bekasi","Kota Bekasi","Jawa Barat","17136"
8,106.9760255076,-6.30423321207789,-6.30423321207789,106.9760255076,"17117, Rawalumbu, Jawa Barat, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
72,106.97551358274,-6.29838376036496,-6.29838376036496,106.97551358274,"Jalan Aceh Rapiah, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
96,106.976666530566,-6.30069196073873,-6.30069196073873,106.976666530566,"Jalan Baru Cipendawa, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
236,106.977043542695,-6.29511250085264,-6.29511250085264,106.977043542695,"Jalan Aceh Rapiah, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
439,106.978558242367,-6.29977805035963,-6.29977805035963,106.978558242367,"Jalan Baru Cipendawa, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
484,106.979437457342,-6.29799280440233,-6.29799280440233,106.979437457342,"17117, Rawalumbu, Jawa Barat, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
494,106.987202116817,-6.29949190484122,-6.29949190484122,106.987202116817,"Jalan Cipendawa Lama, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
533,106.977053403711,-6.3019957461816,-6.3019957461816,106.977053403711,"17117, Rawalumbu, Jawa Barat, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
736,106.991718797098,-6.30495354112902,-6.30495354112902,106.991718797098,"Jalan Meranti Selatan 3 310, Rawalumbu, Jawa Barat, 17117, IDN","Bojong Menteng","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17117"
104,106.991143191784,-6.27877056831912,-6.27877056831912,106.991143191784,"Jalan Mandor Idjo, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
105,106.977710120823,-6.28540360559267,-6.28540360559267,106.977710120823,"Rumah Quran Bunda Aisyah 1, Jalan Kemang Dahlia 24, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
107,106.993812304355,-6.27828833983483,-6.27828833983483,106.993812304355,"Sd Negeri Bojong Menteng 7, Jalan Mesjid Bojong Rawa, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
118,106.986945263406,-6.27733916442782,-6.27733916442782,106.986945263406,"Jalan Duta 12 22, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
160,106.988886629923,-6.2773607579432,-6.2773607579432,106.988886629923,"Sekolah Victory Plus Bekasi, Jalan Citra Niaga Raya, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
224,106.979541971715,-6.28592224341755,-6.28592224341755,106.979541971715,"Jalan Kemang Dahlia 3 12, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
248,106.979535261103,-6.28093585967801,-6.28093585967801,106.979535261103,"Gta, Jalan Berlian 9, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
265,107.002510924587,-6.28623191860896,-6.28623191860896,107.002510924587,"Grc Bekasi Tata Kreasi Amand Art, Jalan Bojong Permai 12, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
334,106.998999063806,-6.28447837498121,-6.28447837498121,106.998999063806,"Jalan Lumbu Utara 1A 149, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
374,106.991624975007,-6.2878247751286,-6.2878247751286,106.991624975007,"Jalan Blue Safir, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
381,107.003405540204,-6.28318034398174,-6.28318034398174,107.003405540204,"Ayuhennaartbekasi, Jalan Rawa Lumbu Ujung, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
405,106.988089816904,-6.27993540783588,-6.27993540783588,106.988089816904,"Gang Rawa, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
456,107.001968802637,-6.28239379439354,-6.28239379439354,107.001968802637,"Jasmine Jahit, Jalan Lumbu Timur Raya, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
508,106.993540852761,-6.29176538148608,-6.29176538148608,106.993540852761,"Aulya Apotek, Jalan Mirah Delima 299, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
549,106.989021882827,-6.27471877904787,-6.27471877904787,106.989021882827,"Islamic Elementary School Of Al-Azhar 9, Jalan Mitra Duta, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
586,107.002227067089,-6.27843722320595,-6.27843722320595,107.002227067089,"Home Azkia S.H, Jalan Rawa Lumbu Ujung 2, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
588,107.005542615102,-6.28099036059286,-6.28099036059286,107.005542615102,"Jalan Bojong Indah, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
596,106.999742587202,-6.2801144542847,-6.2801144542847,106.999742587202,"Jalan Dalang, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
615,106.993410984139,-6.27429142588919,-6.27429142588919,106.993410984139,"Jalan Bambu Kuning Selatan, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
677,107.001297950044,-6.28027837729255,-6.28027837729255,107.001297950044,"17116, Rawalumbu, Jawa Barat, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
687,107.002891636055,-6.27744990033958,-6.27744990033958,107.002891636055,"Toko Yuki, Jalan Rawa Lumbu Ujung 7, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
745,106.999895150567,-6.27929410474212,-6.27929410474212,106.999895150567,"Anjar Asmara, Jalan Dalang, Rawalumbu, Jawa Barat, 17116, IDN","Bojong Rawalumbu","Rawalumbu","Kota Bekasi","Kota Bekasi","Jawa Barat","17116"
378,107.040648755874,-6.31331385924857,-6.31331385924857,107.040648755874,"Jalan Garuda 3, Setu, Jawa Barat, 17320, IDN","Cijengkol","Setu","Kota Bekasi","Bekasi","Jawa Barat","17320"
4,107.028305338577,-6.32219206440492,-6.32219206440492,107.028305338577,"Jalan Amal, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
37,107.025901540371,-6.30839924910399,-6.30839924910399,107.025901540371,"Bakso Balungan, Jalan Zamrud Utara 97B, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
67,107.036986173371,-6.311165241692,-6.311165241692,107.036986173371,"Jalan Gondang, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
106,107.030577301532,-6.31972678882061,-6.31972678882061,107.030577301532,"Rahmatul Ummah, Jalan Letnan Jenderal Suprapto, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
238,107.032723902893,-6.32101749690202,-6.32101749690202,107.032723902893,"Jalan Letnan Jenderal Suprapto, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
256,107.022687570126,-6.3143762309069,-6.3143762309069,107.022687570126,"Perumahan Dukuh Zamrud, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
280,107.024456775552,-6.31742320040613,-6.31742320040613,107.024456775552,"Perumahan Dukuh Zamrud, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
295,107.016669843926,-6.32586233474816,-6.32586233474816,107.016669843926,"Roiffadillah, Jalan Elang 12 35, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
297,107.018422608653,-6.32025966519089,-6.32025966519089,107.018422608653,"Perumahan Dukuh Zamrud, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
313,107.037910797244,-6.30699498115949,-6.30699498115949,107.037910797244,"Jalan Gondang, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
373,107.033974034688,-6.31897438896344,-6.31897438896344,107.033974034688,"Jalan Khairul Bariyyah, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
442,107.017618104486,-6.31938216994866,-6.31938216994866,107.017618104486,"Jalan Zamrud Selatan, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
490,107.03016389075,-6.32295534473777,-6.32295534473777,107.03016389075,"Elmeera, Jalan Amal, Mustika Jaya, Jawa Barat, 17155, IDN","Cimuning","Mustika Jaya","Kota Bekasi","Kota Bekasi","Jawa Barat","17155"
