TeamId,TeamName,SubmissionDate,Score
5923715,Mkasim,"2020-11-28 06:10:46",0.82606
5924075,"yenny eny","2020-11-28 06:09:54",0.75489
5924238,"The Outliers","2020-11-28 06:47:26",0.61301
5924305,labeler,"2020-11-28 05:16:37",0.50361
5924331,"Tim Tagumy","2020-11-28 05:32:04",0.63138
5924337,VitaminC,"2020-11-28 06:54:03",0.48852
5924389,GrowingTaiba,"2020-11-28 06:54:42",0.85946
5924507,YoRa,"2020-11-28 06:59:18",0.81440
5924568,"Don't mention us","2020-11-28 06:56:43",0.56104
5924585,dunno,"2020-11-28 06:25:48",0.53435
5924709,SandiTheta,"2020-11-28 06:11:05",0.53300
5924771,Febiii,"2020-11-28 06:41:41",0.85385
5924782,Senasib,"2020-11-28 06:45:11",0.76438
5924994,Ferlin,"2020-11-28 05:40:34",0.72724
5925131,No_Form,"2020-11-28 06:26:07",0.68632
5925472,Ashiapp,"2020-11-28 06:51:36",0.67112
5925497,MainData,"2020-11-28 06:57:36",0.64626
5925566,chaowmic,"2020-11-28 06:41:11",0.80252
5925575,"Team senandika","2020-11-28 06:16:16",0.82642
5925781,"The Improver","2020-11-28 06:46:12",0.74518
